                                     | Core 0    
  Instructions                       |   12591794
  Cycles                             |    6194086
  IPC                                |       2.03
  Time (ns)                          |    2328604
  Idle time (ns)                     |      96143
  Idle time (%)                      |       4.1%
Branch predictor stats               |           
  num correct                        |     104677
  num incorrect                      |      12622
  misprediction rate                 |     10.76%
  mpki                               |       1.00
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1091176
    num misses                       |         19
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |    6522728
    num misses                       |       2427
    miss rate                        |      0.04%
    mpki                             |       0.19
  L2 TLB                             |           
    num accesses                     |       2446
    num misses                       |       1045
    miss rate                        |     42.72%
    mpki                             |       0.08
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1091176
    num cache misses                 |       1421
    miss rate                        |      0.13%
    mpki                             |       0.11
  Cache L1-D                         |           
    num cache accesses               |    6522734
    num cache misses                 |      11334
    miss rate                        |      0.17%
    mpki                             |       0.90
  Cache L2                           |           
    num cache accesses               |      12760
    num cache misses                 |      10640
    miss rate                        |     83.39%
    mpki                             |       0.84
  Cache L3                           |           
    num cache accesses               |      10645
    num cache misses                 |        885
    miss rate                        |      8.31%
    mpki                             |       0.07
DRAM summary                         |           
  num dram accesses                  |       1760
  average dram access latency (ns)   |     116.19
  average dram queueing delay        |      62.76
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |        117
  num loads from dram cache          |          0
  num loads from remote cache        |          0
