                                     | Core 0    
  Instructions                       |   12591565
  Cycles                             |    6418933
  IPC                                |       1.96
  Time (ns)                          |    2413133
  Idle time (ns)                     |      58748
  Idle time (%)                      |       2.4%
Branch predictor stats               |           
  num correct                        |     104660
  num incorrect                      |      12639
  misprediction rate                 |     10.78%
  mpki                               |       1.00
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1091176
    num misses                       |         21
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |    6522728
    num misses                       |       2394
    miss rate                        |      0.04%
    mpki                             |       0.19
  L2 TLB                             |           
    num accesses                     |       2415
    num misses                       |       1026
    miss rate                        |     42.48%
    mpki                             |       0.08
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1091176
    num cache misses                 |       1406
    miss rate                        |      0.13%
    mpki                             |       0.11
  Cache L1-D                         |           
    num cache accesses               |    6522734
    num cache misses                 |      11363
    miss rate                        |      0.17%
    mpki                             |       0.90
  Cache L2                           |           
    num cache accesses               |      12775
    num cache misses                 |      10618
    miss rate                        |     83.12%
    mpki                             |       0.84
  Cache L3                           |           
    num cache accesses               |      10624
    num cache misses                 |        878
    miss rate                        |      8.26%
    mpki                             |       0.07
DRAM summary                         |           
  num dram accesses                  |       1745
  average dram access latency (ns)   |     210.75
  average dram queueing delay        |     157.32
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |        117
  num loads from dram cache          |          0
  num loads from remote cache        |          0
