                                     | Core 0    
  Instructions                       |   12592000
  Cycles                             |    6886523
  IPC                                |       1.83
  Time (ns)                          |    2588919
  Idle time (ns)                     |      58729
  Idle time (%)                      |       2.3%
Branch predictor stats               |           
  num correct                        |     104666
  num incorrect                      |      12633
  misprediction rate                 |     10.77%
  mpki                               |       1.00
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1091176
    num misses                       |         19
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |    6522728
    num misses                       |       2429
    miss rate                        |      0.04%
    mpki                             |       0.19
  L2 TLB                             |           
    num accesses                     |       2448
    num misses                       |       1033
    miss rate                        |     42.20%
    mpki                             |       0.08
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1091176
    num cache misses                 |       1399
    miss rate                        |      0.13%
    mpki                             |       0.11
  Cache L1-D                         |           
    num cache accesses               |    6522734
    num cache misses                 |      11333
    miss rate                        |      0.17%
    mpki                             |       0.90
  Cache L2                           |           
    num cache accesses               |      12738
    num cache misses                 |      10582
    miss rate                        |     83.07%
    mpki                             |       0.84
  Cache L3                           |           
    num cache accesses               |      10588
    num cache misses                 |        887
    miss rate                        |      8.38%
    mpki                             |       0.07
DRAM summary                         |           
  num dram accesses                  |       1767
  average dram access latency (ns)   |      57.19
  average dram queueing delay        |       3.76
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |        117
  num loads from dram cache          |          0
  num loads from remote cache        |          0
