                                     | Core 0    
  Instructions                       |   12592014
  Cycles                             |    8442331
  IPC                                |       1.49
  Time (ns)                          |    3173809
  Idle time (ns)                     |      96091
  Idle time (%)                      |       3.0%
Branch predictor stats               |           
  num correct                        |     104672
  num incorrect                      |      12627
  misprediction rate                 |     10.76%
  mpki                               |       1.00
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1091176
    num misses                       |         19
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |    6522728
    num misses                       |       2420
    miss rate                        |      0.04%
    mpki                             |       0.19
  L2 TLB                             |           
    num accesses                     |       2439
    num misses                       |       1033
    miss rate                        |     42.35%
    mpki                             |       0.08
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1091176
    num cache misses                 |       1414
    miss rate                        |      0.13%
    mpki                             |       0.11
  Cache L1-D                         |           
    num cache accesses               |    6522734
    num cache misses                 |      11341
    miss rate                        |      0.17%
    mpki                             |       0.90
  Cache L2                           |           
    num cache accesses               |      12762
    num cache misses                 |      10613
    miss rate                        |     83.16%
    mpki                             |       0.84
  Cache L3                           |           
    num cache accesses               |      10620
    num cache misses                 |        888
    miss rate                        |      8.36%
    mpki                             |       0.07
DRAM summary                         |           
  num dram accesses                  |       1766
  average dram access latency (ns)   |      56.05
  average dram queueing delay        |       2.62
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |        117
  num loads from dram cache          |          0
  num loads from remote cache        |          0
