                                     | Core 0    
  Instructions                       |   12591794
  Cycles                             |    6144623
  IPC                                |       2.05
  Time (ns)                          |    2310009
  Idle time (ns)                     |      96094
  Idle time (%)                      |       4.2%
Branch predictor stats               |           
  num correct                        |     104662
  num incorrect                      |      12637
  misprediction rate                 |     10.77%
  mpki                               |       1.00
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1091176
    num misses                       |         18
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |    6522728
    num misses                       |       2434
    miss rate                        |      0.04%
    mpki                             |       0.19
  L2 TLB                             |           
    num accesses                     |       2452
    num misses                       |       1024
    miss rate                        |     41.76%
    mpki                             |       0.08
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1091176
    num cache misses                 |       1340
    miss rate                        |      0.12%
    mpki                             |       0.11
  Cache L1-D                         |           
    num cache accesses               |    6522734
    num cache misses                 |      11316
    miss rate                        |      0.17%
    mpki                             |       0.90
  Cache L2                           |           
    num cache accesses               |      12660
    num cache misses                 |      10517
    miss rate                        |     83.07%
    mpki                             |       0.84
  Cache L3                           |           
    num cache accesses               |      10521
    num cache misses                 |        880
    miss rate                        |      8.36%
    mpki                             |       0.07
DRAM summary                         |           
  num dram accesses                  |       1745
  average dram access latency (ns)   |     115.88
  average dram queueing delay        |      62.45
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |        110
  num loads from dram cache          |          0
  num loads from remote cache        |          0
