                                     | Core 0    
  Instructions                       |   12591999
  Cycles                             |    8373235
  IPC                                |       1.50
  Time (ns)                          |    3147833
  Idle time (ns)                     |      58791
  Idle time (%)                      |       1.9%
Branch predictor stats               |           
  num correct                        |     104686
  num incorrect                      |      12613
  misprediction rate                 |     10.75%
  mpki                               |       1.00
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1091176
    num misses                       |         19
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |    6522728
    num misses                       |       2428
    miss rate                        |      0.04%
    mpki                             |       0.19
  L2 TLB                             |           
    num accesses                     |       2447
    num misses                       |       1025
    miss rate                        |     41.89%
    mpki                             |       0.08
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1091176
    num cache misses                 |       1391
    miss rate                        |      0.13%
    mpki                             |       0.11
  Cache L1-D                         |           
    num cache accesses               |    6522734
    num cache misses                 |      11327
    miss rate                        |      0.17%
    mpki                             |       0.90
  Cache L2                           |           
    num cache accesses               |      12726
    num cache misses                 |      10569
    miss rate                        |     83.05%
    mpki                             |       0.84
  Cache L3                           |           
    num cache accesses               |      10577
    num cache misses                 |        890
    miss rate                        |      8.41%
    mpki                             |       0.07
DRAM summary                         |           
  num dram accesses                  |       1761
  average dram access latency (ns)   |      57.24
  average dram queueing delay        |       3.81
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |        118
  num loads from dram cache          |          0
  num loads from remote cache        |          0
