                                     | Core 0    
  Instructions                       |   12591594
  Cycles                             |    6553224
  IPC                                |       1.92
  Time (ns)                          |    2463618
  Idle time (ns)                     |      96175
  Idle time (%)                      |       3.9%
Branch predictor stats               |           
  num correct                        |     104672
  num incorrect                      |      12631
  misprediction rate                 |     10.77%
  mpki                               |       1.00
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1091181
    num misses                       |         19
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |    6522740
    num misses                       |       2410
    miss rate                        |      0.04%
    mpki                             |       0.19
  L2 TLB                             |           
    num accesses                     |       2429
    num misses                       |       1026
    miss rate                        |     42.24%
    mpki                             |       0.08
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1091181
    num cache misses                 |       1335
    miss rate                        |      0.12%
    mpki                             |       0.11
  Cache L1-D                         |           
    num cache accesses               |    6522746
    num cache misses                 |      11338
    miss rate                        |      0.17%
    mpki                             |       0.90
  Cache L2                           |           
    num cache accesses               |      12681
    num cache misses                 |      10514
    miss rate                        |     82.91%
    mpki                             |       0.84
  Cache L3                           |           
    num cache accesses               |      10522
    num cache misses                 |        886
    miss rate                        |      8.42%
    mpki                             |       0.07
DRAM summary                         |           
  num dram accesses                  |       1765
  average dram access latency (ns)   |     210.70
  average dram queueing delay        |     157.27
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |        121
  num loads from dram cache          |          0
  num loads from remote cache        |          0
