                                     | Core 0    
  Instructions                       |   12591907
  Cycles                             |    6146534
  IPC                                |       2.05
  Time (ns)                          |    2310727
  Idle time (ns)                     |      58794
  Idle time (%)                      |       2.5%
Branch predictor stats               |           
  num correct                        |     104647
  num incorrect                      |      12652
  misprediction rate                 |     10.79%
  mpki                               |       1.00
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1091176
    num misses                       |         18
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |    6522728
    num misses                       |       2491
    miss rate                        |      0.04%
    mpki                             |       0.20
  L2 TLB                             |           
    num accesses                     |       2509
    num misses                       |       1034
    miss rate                        |     41.21%
    mpki                             |       0.08
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1091176
    num cache misses                 |       1378
    miss rate                        |      0.13%
    mpki                             |       0.11
  Cache L1-D                         |           
    num cache accesses               |    6522734
    num cache misses                 |      11325
    miss rate                        |      0.17%
    mpki                             |       0.90
  Cache L2                           |           
    num cache accesses               |      12711
    num cache misses                 |      10571
    miss rate                        |     83.16%
    mpki                             |       0.84
  Cache L3                           |           
    num cache accesses               |      10579
    num cache misses                 |        891
    miss rate                        |      8.42%
    mpki                             |       0.07
DRAM summary                         |           
  num dram accesses                  |       1775
  average dram access latency (ns)   |      80.29
  average dram queueing delay        |      26.86
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |        121
  num loads from dram cache          |          0
  num loads from remote cache        |          0
