                                     | Core 0    
  Instructions                       |   12591970
  Cycles                             |    6311709
  IPC                                |       2.00
  Time (ns)                          |    2372823
  Idle time (ns)                     |      96114
  Idle time (%)                      |       4.1%
Branch predictor stats               |           
  num correct                        |     104654
  num incorrect                      |      12645
  misprediction rate                 |     10.78%
  mpki                               |       1.00
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1091176
    num misses                       |         18
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |    6522728
    num misses                       |       2423
    miss rate                        |      0.04%
    mpki                             |       0.19
  L2 TLB                             |           
    num accesses                     |       2441
    num misses                       |       1019
    miss rate                        |     41.75%
    mpki                             |       0.08
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1091176
    num cache misses                 |       1339
    miss rate                        |      0.12%
    mpki                             |       0.11
  Cache L1-D                         |           
    num cache accesses               |    6522734
    num cache misses                 |      11309
    miss rate                        |      0.17%
    mpki                             |       0.90
  Cache L2                           |           
    num cache accesses               |      12654
    num cache misses                 |      10491
    miss rate                        |     82.91%
    mpki                             |       0.83
  Cache L3                           |           
    num cache accesses               |      10497
    num cache misses                 |        878
    miss rate                        |      8.36%
    mpki                             |       0.07
DRAM summary                         |           
  num dram accesses                  |       1738
  average dram access latency (ns)   |      62.08
  average dram queueing delay        |       8.65
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |        114
  num loads from dram cache          |          0
  num loads from remote cache        |          0
